Company Name,Contact Name,Industry,City,Phone,Email,Website,Address,Employees,Rating,Reviews,Score,Priority,Status,Date Added,Last Contact,Next Action,Next Action Date,Notes,Email Sent,Response Received,Meeting Booked,Deal Value,Deal Status
Maria's Accounting,Maria Garcia,Accounting,Miami,305-174-4149,maria.garcia@mariasaccounting.com,https://mariasaccounting.com,"2968 Ocean Dr, Miami, FL",19,4.9,182,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Sarah's Tax Services,Sarah Smith,Accounting,Miami,305-700-9517,sarah.smith@sarahstaxservices.com,https://sarahstaxservices.com,"4646 Biscayne Blvd, Miami, FL",34,5.0,13,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Sarah's Financial Services,Sarah Garcia,Accounting,Fort Lauderdale,954-124-1287,sarah.garcia@sarahsfinancialservices.com,https://sarahsfinancialservices.com,"1515 Las Olas, Fort Lauderdale, FL",19,4.3,165,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Karen's Financial Services,Karen Davis,Accounting,Fort Lauderdale,954-284-4399,karen.davis@karensfinancialservices.com,https://karensfinancialservices.com,"5038 Ocean Dr, Fort Lauderdale, FL",35,4.5,182,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Lisa's Homes,Lisa Brown,Real Estate,Miami,305-611-5803,lisa.brown@lisashomes.com,https://lisashomes.com,"1147 Main St, Miami, FL",26,4.4,68,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Maria's Real Estate,Maria Moore,Real Estate,Miami,305-953-5107,maria.moore@mariasrealestate.com,https://mariasrealestate.com,"9718 Ocean Dr, Miami, FL",49,3.9,64,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Linda's Homes,Linda Moore,Real Estate,Fort Lauderdale,954-710-6939,linda.moore@lindashomes.com,https://lindashomes.com,"2807 Main St, Fort Lauderdale, FL",13,3.7,109,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
James's Properties,James Martinez,Real Estate,Fort Lauderdale,954-871-9747,james.martinez@jamessproperties.com,https://jamessproperties.com,"2454 Atlantic Ave, Fort Lauderdale, FL",19,4.7,107,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Jennifer's Real Estate Group,Jennifer Johnson,Real Estate,Fort Lauderdale,954-219-4392,jennifer.johnson@jennifersrealestategroup.com,https://jennifersrealestategroup.com,"7361 Atlantic Ave, Fort Lauderdale, FL",49,3.6,121,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
James's Realty,James Jones,Real Estate,Fort Lauderdale,954-341-7235,james.jones@jamessrealty.com,https://jamessrealty.com,"9200 Biscayne Blvd, Fort Lauderdale, FL",49,4.1,35,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
William's Dental Group,William Johnson,Dental,Miami,305-498-1435,william.johnson@williamsdentalgroup.com,https://williamsdentalgroup.com,"1684 Main St, Miami, FL",48,3.8,147,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
John's Smile Center,John Smith,Dental,Miami,305-799-3908,john.smith@johnssmilecenter.com,https://johnssmilecenter.com,"2660 Las Olas, Miami, FL",39,4.5,38,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Karen's Dental Group,Karen Jones,Dental,Miami,305-274-4281,karen.jones@karensdentalgroup.com,https://karensdentalgroup.com,"4682 Las Olas, Miami, FL",21,4.4,161,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
John's Dental,John Hernandez,Dental,Fort Lauderdale,954-532-7874,john.hernandez@johnsdental.com,https://johnsdental.com,"1989 Atlantic Ave, Fort Lauderdale, FL",35,4.2,36,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Susan's Dental Group,Susan Brown,Dental,Fort Lauderdale,954-981-7244,susan.brown@susansdentalgroup.com,https://susansdentalgroup.com,"5471 Ocean Dr, Fort Lauderdale, FL",36,4.5,85,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Lisa's Smile Center,Lisa Williams,Dental,Fort Lauderdale,954-651-4970,lisa.williams@lisassmilecenter.com,https://lisassmilecenter.com,"7008 Ocean Dr, Fort Lauderdale, FL",29,4.1,99,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Michael's Health Center,Michael Martin,Medical,Miami,305-483-4042,michael.martin@michaelshealthcenter.com,https://michaelshealthcenter.com,"9750 Biscayne Blvd, Miami, FL",21,4.3,104,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Karen's Medical,Karen Hernandez,Medical,Miami,305-818-1787,karen.hernandez@karensmedical.com,https://karensmedical.com,"2207 Main St, Miami, FL",21,3.9,100,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Lisa's Medical Group,Lisa Wilson,Medical,Fort Lauderdale,954-652-8647,lisa.wilson@lisasmedicalgroup.com,https://lisasmedicalgroup.com,"1447 Las Olas, Fort Lauderdale, FL",33,4.6,23,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Betty's Family Practice,Betty Hernandez,Medical,Fort Lauderdale,954-430-6992,betty.hernandez@bettysfamilypractice.com,https://bettysfamilypractice.com,"8316 Ocean Dr, Fort Lauderdale, FL",21,3.8,191,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Sarah's Healthcare,Sarah Martin,Medical,Fort Lauderdale,954-701-1060,sarah.martin@sarahshealthcare.com,https://sarahshealthcare.com,"5431 Main St, Fort Lauderdale, FL",35,3.6,162,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Jennifer's Family Practice,Jennifer Garcia,Medical,Fort Lauderdale,954-231-9139,jennifer.garcia@jennifersfamilypractice.com,https://jennifersfamilypractice.com,"6712 Las Olas, Fort Lauderdale, FL",17,4.8,167,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Patricia's Home Solutions,Patricia Hernandez,Home Services,Miami,305-407-8024,patricia.hernandez@patriciashomesolutions.com,https://patriciashomesolutions.com,"4526 Main St, Miami, FL",24,4.1,78,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Betty's Home Services,Betty Rodriguez,Home Services,Miami,305-976-5581,betty.rodriguez@bettyshomeservices.com,https://bettyshomeservices.com,"9861 Ocean Dr, Miami, FL",49,4.6,112,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
James's Home Services,James Davis,Home Services,Miami,305-224-2346,james.davis@jamesshomeservices.com,https://jamesshomeservices.com,"5569 Ocean Dr, Miami, FL",34,4.0,61,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Karen's Services,Karen Wilson,Home Services,Miami,305-919-4779,karen.wilson@karensservices.com,https://karensservices.com,"9552 Ocean Dr, Miami, FL",32,4.1,18,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Jennifer's Repairs,Jennifer Hernandez,Home Services,Fort Lauderdale,954-830-2142,jennifer.hernandez@jennifersrepairs.com,https://jennifersrepairs.com,"7127 Main St, Fort Lauderdale, FL",30,4.6,146,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Susan's Home Services,Susan Garcia,Home Services,Fort Lauderdale,954-560-4719,susan.garcia@susanshomeservices.com,https://susanshomeservices.com,"3260 Biscayne Blvd, Fort Lauderdale, FL",28,4.4,94,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Lisa's Contracting,Lisa Miller,Home Services,Miami,305-427-2125,lisa.miller@lisascontracting.com,https://lisascontracting.com,"3700 Atlantic Ave, Miami, FL",22,3.8,98,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Jennifer's Contracting,Jennifer Wilson,Home Services,Miami,305-433-6017,jennifer.wilson@jenniferscontracting.com,https://jenniferscontracting.com,"5868 Ocean Dr, Miami, FL",40,3.9,21,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
William's Home Solutions,William Rodriguez,Home Services,Miami,305-679-6191,william.rodriguez@williamshomesolutions.com,https://williamshomesolutions.com,"2616 Las Olas, Miami, FL",40,3.6,127,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Betty's Home Services,Betty Lopez,Home Services,Miami,305-809-3204,betty.lopez@bettyshomeservices.com,https://bettyshomeservices.com,"1334 Las Olas, Miami, FL",38,3.7,95,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Margaret's Restaurant,Margaret Gonzalez,Restaurant,Miami,305-255-8907,margaret.gonzalez@margaretsrestaurant.com,https://margaretsrestaurant.com,"4006 Biscayne Blvd, Miami, FL",44,4.7,74,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Lisa's Kitchen,Lisa Brown,Restaurant,Miami,305-238-1263,lisa.brown@lisaskitchen.com,https://lisaskitchen.com,"3422 Main St, Miami, FL",46,4.0,79,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Jennifer's Cafe,Jennifer Anderson,Restaurant,Miami,305-962-6457,jennifer.anderson@jenniferscafe.com,https://jenniferscafe.com,"9324 Main St, Miami, FL",45,4.5,203,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
James's Shop,James Hernandez,Retail,Fort Lauderdale,954-604-9094,james.hernandez@jamessshop.com,https://jamessshop.com,"6831 Las Olas, Fort Lauderdale, FL",27,4.9,126,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Lisa's Retail,Lisa Rodriguez,Retail,Fort Lauderdale,954-953-6247,lisa.rodriguez@lisasretail.com,https://lisasretail.com,"7201 Biscayne Blvd, Fort Lauderdale, FL",44,3.6,14,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Lisa's Shop,Lisa Hernandez,Retail,Fort Lauderdale,954-373-7220,lisa.hernandez@lisasshop.com,https://lisasshop.com,"8610 Las Olas, Fort Lauderdale, FL",28,5.0,103,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Elizabeth's Retail,Elizabeth Jones,Retail,Fort Lauderdale,954-597-7624,elizabeth.jones@elizabethsretail.com,https://elizabethsretail.com,"7679 Main St, Fort Lauderdale, FL",11,4.4,170,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
